IMEI,Sales Date,Brand,Model,Color,Storage,RAM,Price (PKR),Customer Name,Phone Number,Payment Method,Warranty,Shop Location
267052025769277,2024-01-25,Xiaomi,Redmi Note 10,White,128GB,4GB,229542,Customer25,03863870912,JazzCash,Yes,Peshawar Saddar
206787369173976,2025-01-04,Samsung,Galaxy M12,White,128GB,12GB,199493,Customer81,03091403681,Cash,Yes,Peshawar Saddar
250189206691425,2024-07-23,Xiaomi,Redmi Note 10,Red,128GB,8GB,42935,Customer75,03592721036,Card,Yes,Peshawar Saddar
682756171079974,2024-11-27,Infinix,Zero 8,Gray,64GB,12GB,220039,Customer11,03848185234,Card,Yes,Peshawar Saddar
296506637199332,2024-03-03,Infinix,Hot 10,Black,64GB,4GB,65562,Customer78,03922635979,Cash,Yes,Peshawar Saddar
211569632754819,2025-01-21,Infinix,Hot 10,Black,64GB,6GB,249692,Customer97,03455567501,Easypaisa,No,Peshawar Saddar
930673261116635,2025-03-20,Samsung,Galaxy S21,Red,128GB,6GB,38053,Customer84,03999686349,Card,Yes,Peshawar Saddar
314859257844796,2024-01-23,Apple,iPhone 13,Red,64GB,12GB,21617,Customer49,03020148884,JazzCash,No,Peshawar Saddar
264473078008816,2025-01-19,OnePlus,Nord CE,Green,128GB,8GB,92291,Customer100,03944311046,Card,No,Peshawar Saddar
138414368691674,2024-07-21,Samsung,Galaxy S21,Blue,256GB,6GB,245638,Customer40,03843368086,Card,Yes,Peshawar Saddar
284561917323490,2024-04-25,Infinix,Zero 8,White,256GB,8GB,60980,Customer79,03878586566,Easypaisa,No,Peshawar Saddar
166615925797918,2025-01-18,Apple,iPhone 12,Red,128GB,8GB,217951,Customer80,03198701146,Easypaisa,No,Peshawar Saddar
115695992952811,2024-05-17,Infinix,Zero 8,Green,64GB,6GB,241094,Customer7,03470656933,Cash,Yes,Peshawar Saddar
283920128799051,2024-08-04,Samsung,Galaxy A52,Blue,256GB,4GB,89089,Customer46,03912916543,Card,Yes,Peshawar Saddar
201861702962993,2025-03-21,Infinix,Zero 8,White,64GB,8GB,68313,Customer6,03841797134,Card,Yes,Peshawar Saddar
260611299770689,2024-03-20,Samsung,Galaxy Note 20,Gray,128GB,6GB,63856,Customer62,03898587341,JazzCash,Yes,Peshawar Saddar
149510778809861,2024-08-19,OnePlus,Nord CE,White,64GB,12GB,214779,Customer70,03549470776,Easypaisa,Yes,Peshawar Saddar
262340505166326,2024-11-14,Infinix,Zero 8,Green,256GB,4GB,44257,Customer45,03945920516,Cash,No,Peshawar Saddar
189264942932327,2025-04-14,Infinix,Smart 5,White,128GB,8GB,242424,Customer12,03483081426,Easypaisa,No,Peshawar Saddar
249949136499576,2024-09-01,OnePlus,OnePlus 9,Green,64GB,12GB,58159,Customer49,03796521024,Easypaisa,Yes,Peshawar Saddar
985612245567684,2024-07-14,Xiaomi,Poco X3,Green,256GB,12GB,79439,Customer32,03257188385,JazzCash,No,Peshawar Saddar
149298328557351,2024-09-16,OnePlus,OnePlus 9,Black,128GB,12GB,215749,Customer36,03430835646,JazzCash,No,Peshawar Saddar
221319513139423,2024-09-21,Infinix,Zero 8,Green,64GB,6GB,166941,Customer2,03863300690,Easypaisa,Yes,Peshawar Saddar
257879757067481,2024-06-25,Infinix,Hot 10,Black,256GB,6GB,143766,Customer5,03213538109,Card,No,Peshawar Saddar
984337921198553,2024-01-08,Xiaomi,Redmi 9,White,64GB,4GB,143475,Customer43,03856194647,Cash,No,Peshawar Saddar
961456248877277,2024-03-27,Xiaomi,Poco X3,White,128GB,4GB,36415,Customer89,03111988986,Easypaisa,Yes,Peshawar Saddar
147901493572957,2024-11-10,Xiaomi,Mi 11,Red,128GB,8GB,237052,Customer4,03068987249,JazzCash,No,Peshawar Saddar
868365713946499,2024-04-20,Samsung,Galaxy A52,Blue,128GB,8GB,115683,Customer62,03049521126,Easypaisa,Yes,Peshawar Saddar
326067422141146,2025-03-17,OnePlus,Nord CE,Gray,128GB,8GB,166769,Customer55,03247881666,Card,Yes,Peshawar Saddar
241712079237359,2024-06-11,OnePlus,OnePlus 10R,White,256GB,12GB,203605,Customer79,03210034459,JazzCash,No,Peshawar Saddar
564374062087976,2024-11-25,Xiaomi,Redmi Note 10,Black,128GB,8GB,137612,Customer6,03135807972,Cash,No,Peshawar Saddar
314459974619118,2024-11-18,OnePlus,OnePlus 9,Green,256GB,4GB,162422,Customer94,03344101194,Easypaisa,No,Peshawar Saddar
102677427907388,2025-04-13,Infinix,Hot 10,Red,64GB,12GB,78610,Customer39,03758005227,Card,No,Peshawar Saddar
128350016069441,2024-10-03,OnePlus,Nord CE,Blue,64GB,8GB,24528,Customer14,03854013219,Easypaisa,Yes,Peshawar Saddar
264752407943615,2024-10-08,Xiaomi,Redmi 9,White,128GB,12GB,30702,Customer15,03385336849,JazzCash,Yes,Peshawar Saddar
925301026229098,2025-02-18,OnePlus,OnePlus 10R,Black,64GB,8GB,24656,Customer48,03026127683,Card,Yes,Peshawar Saddar
273002119239535,2024-09-27,Samsung,Galaxy M12,Black,128GB,8GB,24308,Customer87,03568056727,JazzCash,No,Peshawar Saddar
234643669115426,2024-02-03,Xiaomi,Redmi 9,Green,256GB,4GB,97602,Customer45,03932514591,Easypaisa,No,Peshawar Saddar
994411164713064,2025-04-11,Xiaomi,Mi 11,Black,256GB,8GB,148493,Customer27,03350787791,Easypaisa,Yes,Peshawar Saddar
218760391382218,2024-06-24,Infinix,Note 11,White,64GB,6GB,216457,Customer73,03799117638,Easypaisa,No,Peshawar Saddar
110167620769929,2024-01-07,Samsung,Galaxy M12,White,256GB,6GB,31637,Customer73,03378701655,Easypaisa,No,Peshawar Saddar
206883454529338,2024-04-22,OnePlus,OnePlus 10R,White,256GB,6GB,25955,Customer18,03622994989,Cash,No,Peshawar Saddar
588946547156026,2025-04-26,Xiaomi,Redmi 9,Gray,256GB,12GB,77701,Customer57,03667765310,JazzCash,No,Peshawar Saddar
595954522500055,2024-02-01,Infinix,Smart 5,Green,256GB,12GB,81746,Customer12,03512514918,Cash,No,Peshawar Saddar
300770104745603,2024-04-04,Apple,iPhone 13,Black,64GB,8GB,230866,Customer7,03260341034,Easypaisa,No,Peshawar Saddar
480210467864493,2025-01-09,Samsung,Galaxy M12,Blue,64GB,12GB,128547,Customer91,03169598361,JazzCash,No,Peshawar Saddar
472429273313669,2024-09-21,Apple,iPhone SE,Gray,64GB,12GB,177667,Customer77,03851850212,Card,No,Peshawar Saddar
877021732391371,2024-05-06,Infinix,Hot 10,Gray,128GB,8GB,40778,Customer43,03819450774,Card,No,Peshawar Saddar
220046450094714,2024-02-22,Xiaomi,Redmi Note 10,Green,128GB,12GB,205075,Customer97,03519058822,Cash,No,Peshawar Saddar
301220247561371,2025-01-27,OnePlus,Nord CE,Blue,64GB,12GB,174427,Customer92,03868315384,Easypaisa,No,Peshawar Saddar
305480644279944,2024-10-04,Samsung,Galaxy Note 20,Black,256GB,6GB,122361,Customer89,03312120492,JazzCash,Yes,Peshawar Saddar
219420934483626,2025-04-12,Xiaomi,Mi 11,White,64GB,12GB,124965,Customer20,03157699693,JazzCash,Yes,Peshawar Saddar
250977068515595,2024-12-04,OnePlus,Nord CE,Red,256GB,12GB,239470,Customer83,03525602625,JazzCash,Yes,Peshawar Saddar
174735006640454,2024-12-02,OnePlus,Nord CE,Green,64GB,12GB,174755,Customer80,03723108556,JazzCash,Yes,Peshawar Saddar
277658145440013,2024-10-14,OnePlus,Nord CE,Blue,64GB,4GB,156007,Customer72,03921997058,Cash,No,Peshawar Saddar
166386662034975,2024-08-01,Samsung,Galaxy A52,Green,256GB,4GB,141308,Customer18,03755152090,Easypaisa,Yes,Peshawar Saddar
292245407690572,2025-01-21,Infinix,Hot 10,White,256GB,6GB,67345,Customer35,03558453267,JazzCash,No,Peshawar Saddar
297318394971175,2025-04-13,Xiaomi,Redmi 9,Green,256GB,8GB,147490,Customer90,03970633977,Cash,No,Peshawar Saddar
228993852039027,2024-06-29,Infinix,Hot 10,Blue,64GB,12GB,103106,Customer34,03473617412,JazzCash,No,Peshawar Saddar
285058000023307,2024-06-20,Samsung,Galaxy Note 20,Red,128GB,6GB,183017,Customer35,03540236261,Easypaisa,No,Peshawar Saddar
458215996023861,2024-07-04,Infinix,Zero 8,Red,64GB,4GB,36719,Customer98,03589025051,JazzCash,Yes,Peshawar Saddar
163249814712010,2024-05-24,Apple,iPhone SE,Black,128GB,12GB,24089,Customer80,03833554695,JazzCash,Yes,Peshawar Saddar
206792569276770,2024-05-20,Apple,iPhone SE,Black,256GB,4GB,242620,Customer90,03755473769,JazzCash,No,Peshawar Saddar
869649562766810,2024-02-06,Samsung,Galaxy S21,Gray,64GB,8GB,121321,Customer4,03625019460,JazzCash,No,Peshawar Saddar
550888166523584,2024-11-15,Infinix,Smart 5,Red,256GB,4GB,168110,Customer48,03966502730,Card,Yes,Peshawar Saddar
335879423339373,2024-06-25,Samsung,Galaxy Note 20,Red,256GB,8GB,74420,Customer21,03538685511,Easypaisa,Yes,Peshawar Saddar
709114454029482,2024-12-21,OnePlus,OnePlus 9,Blue,64GB,6GB,178741,Customer74,03118815050,Easypaisa,No,Peshawar Saddar
253529835290709,2024-05-07,Apple,iPhone 12,Red,128GB,12GB,139200,Customer86,03981733732,Cash,Yes,Peshawar Saddar
494628526038953,2024-03-12,OnePlus,OnePlus 10R,Red,64GB,4GB,180781,Customer82,03267598561,Easypaisa,Yes,Peshawar Saddar
245810103225670,2024-12-27,Apple,iPhone SE,White,256GB,4GB,182493,Customer16,03244078572,JazzCash,Yes,Peshawar Saddar
118570927658717,2024-10-14,Xiaomi,Mi 11,Blue,256GB,8GB,29848,Customer48,03828121031,Cash,No,Peshawar Saddar
223302240372233,2024-12-17,Infinix,Smart 5,Green,64GB,6GB,29692,Customer29,03544304046,JazzCash,Yes,Peshawar Saddar
212515666693734,2025-04-07,Samsung,Galaxy M12,Black,128GB,4GB,36949,Customer13,03012056212,JazzCash,Yes,Peshawar Saddar
271848036182089,2024-08-18,Samsung,Galaxy M12,White,64GB,6GB,33621,Customer69,03327769381,Cash,Yes,Peshawar Saddar
279800666664329,2025-03-06,Xiaomi,Poco X3,Black,256GB,4GB,221427,Customer3,03469826749,Card,Yes,Peshawar Saddar
295051620956246,2024-12-06,Infinix,Smart 5,Red,128GB,4GB,201963,Customer65,03559818294,Easypaisa,No,Peshawar Saddar
351772297759786,2024-06-08,Samsung,Galaxy Note 20,Black,64GB,6GB,84923,Customer48,03027259602,Cash,No,Peshawar Saddar
271422321989264,2024-04-02,Xiaomi,Redmi Note 10,Green,256GB,6GB,244264,Customer91,03060932580,Easypaisa,Yes,Peshawar Saddar
107639752904163,2024-04-24,OnePlus,Nord CE,White,256GB,8GB,203066,Customer64,03999660152,JazzCash,Yes,Peshawar Saddar
296226601145523,2024-03-24,Apple,iPhone SE,Green,256GB,6GB,62528,Customer43,03244333470,Cash,No,Peshawar Saddar
262388347759362,2025-02-28,OnePlus,OnePlus 10R,Black,64GB,6GB,216063,Customer73,03132564419,Card,Yes,Peshawar Saddar
973887051130444,2025-04-26,Apple,iPhone 11,Green,64GB,12GB,30915,Customer30,03713802911,Cash,No,Peshawar Saddar
161665016710528,2025-02-02,Samsung,Galaxy A52,Black,128GB,4GB,31672,Customer100,03147381076,JazzCash,Yes,Peshawar Saddar
303098035383826,2025-03-02,Samsung,Galaxy M12,Red,256GB,4GB,26974,Customer42,03651771286,Card,Yes,Peshawar Saddar
254415385441678,2025-01-23,OnePlus,OnePlus 10R,Black,64GB,4GB,151457,Customer77,03390891945,Card,No,Peshawar Saddar
167462901538208,2024-11-30,Xiaomi,Redmi 9,Red,128GB,12GB,70084,Customer66,03053616591,Cash,No,Peshawar Saddar
919364480947552,2024-12-08,Apple,iPhone 11,Green,64GB,6GB,23930,Customer52,03668163898,JazzCash,Yes,Peshawar Saddar
195021493184000,2025-04-09,OnePlus,OnePlus 9,Gray,256GB,8GB,108577,Customer73,03572274440,Cash,No,Peshawar Saddar
416363156077432,2024-07-27,OnePlus,OnePlus 9,Blue,256GB,12GB,105072,Customer68,03298292469,Card,No,Peshawar Saddar
164802970561201,2024-11-18,Infinix,Note 11,Blue,256GB,6GB,234536,Customer43,03281765818,JazzCash,No,Peshawar Saddar
205226315315933,2024-01-22,Samsung,Galaxy A52,Green,256GB,8GB,34997,Customer3,03896335589,JazzCash,Yes,Peshawar Saddar
332243833718662,2025-04-22,Xiaomi,Redmi 9,Blue,256GB,4GB,204097,Customer74,03886207475,Card,No,Peshawar Saddar
252605325718352,2024-09-27,Infinix,Smart 5,Gray,128GB,6GB,244769,Customer59,03324081453,Cash,Yes,Peshawar Saddar
340913101269349,2024-07-19,OnePlus,OnePlus 9,Black,256GB,4GB,61891,Customer9,03476718263,Card,No,Peshawar Saddar
107704013316650,2025-03-18,Apple,iPhone SE,White,128GB,6GB,234345,Customer37,03155116673,Easypaisa,No,Peshawar Saddar
